year,author,title,publisher,chair,judge_1,judge_2,judge_3,judge_4,judge_5,genre,country,winner
2010,Howard Jacobson,The Finkler Question,Bloomsbury,Andrew Motion,Rosie Blau,Deborah Bull,Tom Sutcliffe,Frances Wilson,NA,Comic novel,United Kingdom,yes
2010,Peter Carey,Parrot and Olivier in America,Faber & Faber,Andrew Motion,Rosie Blau,Deborah Bull,Tom Sutcliffe,Frances Wilson,NA,NA,NA,no
2010,Emma Donoghue,Room,Picador,Andrew Motion,Rosie Blau,Deborah Bull,Tom Sutcliffe,Frances Wilson,NA,NA,NA,no
2010,Damon Galgut,In a Strange Room,Atlantic Books,Andrew Motion,Rosie Blau,Deborah Bull,Tom Sutcliffe,Frances Wilson,NA,NA,NA,no
2010,Andrea Levy,The Long Song,Hachette,Andrew Motion,Rosie Blau,Deborah Bull,Tom Sutcliffe,Frances Wilson,NA,NA,NA,no
2010,Tom McCarthy,C,Jonathan Cape,Andrew Motion,Rosie Blau,Deborah Bull,Tom Sutcliffe,Frances Wilson,NA,NA,NA,no
2011,Julian Barnes,The Sense of an Ending,Jonathan Cape,Dame Stella Rimington,Matthew d'Ancona,Susan Hill,Chris Mullin,Gaby Wood,NA,Novel,United Kingdom,yes
2011,Carol Birch,Jamrach's Menagerie,Canongate Books,Dame Stella Rimington,Matthew d'Ancona,Susan Hill,Chris Mullin,Gaby Wood,NA,NA,NA,no
2011,Patrick deWitt,The Sisters Brothers,Granta Books,Dame Stella Rimington,Matthew d'Ancona,Susan Hill,Chris Mullin,Gaby Wood,NA,NA,NA,no
2011,Esi Edugyan,Half-Blood Blues,Serpent's Tail,Dame Stella Rimington,Matthew d'Ancona,Susan Hill,Chris Mullin,Gaby Wood,NA,NA,NA,no
2011,Stephen Kelman,Pigeon English,Bloomsbury,Dame Stella Rimington,Matthew d'Ancona,Susan Hill,Chris Mullin,Gaby Wood,NA,NA,NA,no
2011,A D Miller,Snowdrops,Atlantic Books,Dame Stella Rimington,Matthew d'Ancona,Susan Hill,Chris Mullin,Gaby Wood,NA,NA,NA,no
2012,Hilary Mantel,Bring Up the Bodies,Fourth Estate,Sir Peter Stothard,Dinah Birch,Dan Stevens,Amanda Foreman,Bharat Tandon,NA,Historical novel,United Kingdom,yes
2012,Deborah Levy,Swimming Home,And Other Stories/Faber & Faber,Sir Peter Stothard,Dinah Birch,Dan Stevens,Amanda Foreman,Bharat Tandon,NA,NA,NA,no
2012,Alison Moore,The Lighthouse,Salt Publishing,Sir Peter Stothard,Dinah Birch,Dan Stevens,Amanda Foreman,Bharat Tandon,NA,NA,NA,no
2012,Will Self,Umbrella,Bloomsbury,Sir Peter Stothard,Dinah Birch,Dan Stevens,Amanda Foreman,Bharat Tandon,NA,NA,NA,no
2012,Tan Twan Eng,The Garden of Evening Mists,Myrmidon Books,Sir Peter Stothard,Dinah Birch,Dan Stevens,Amanda Foreman,Bharat Tandon,NA,NA,NA,no
2012,Jeet Thayil,Narcopolis,Faber & Faber,Sir Peter Stothard,Dinah Birch,Dan Stevens,Amanda Foreman,Bharat Tandon,NA,NA,NA,no
2013,Eleanor Catton,The Luminaries,Granta,Robert Macfarlane,Martha Kearney,Stuart Kelly,Natalie Haynes,Robert Douglas-Fairhurst,NA,Historical novel,New Zealand,yes
2013,NoViolet Bulawayo,We Need New Names,Chatto & Windus,Robert Macfarlane,Martha Kearney,Stuart Kelly,Natalie Haynes,Robert Douglas-Fairhurst,NA,NA,NA,no
2013,Jim Crace,Harvest,Picador,Robert Macfarlane,Martha Kearney,Stuart Kelly,Natalie Haynes,Robert Douglas-Fairhurst,NA,NA,NA,no
2013,Jhumpa Lahiri,The Lowland,Bloomsbury,Robert Macfarlane,Martha Kearney,Stuart Kelly,Natalie Haynes,Robert Douglas-Fairhurst,NA,NA,NA,no
2013,Ruth Ozeki,A Tale for the Time Being,Canongate Books,Robert Macfarlane,Martha Kearney,Stuart Kelly,Natalie Haynes,Robert Douglas-Fairhurst,NA,NA,NA,no
2013,Colm Tóibín,The Testament of Mary,Viking,Robert Macfarlane,Martha Kearney,Stuart Kelly,Natalie Haynes,Robert Douglas-Fairhurst,NA,NA,NA,no
2014,Richard Flanagan,The Narrow Road to the Deep North,Chatto & Windus,A. C. Grayling,Sarah Churchwell,Jonathan Bate,Dr Daniel Glaser,Dr Alastair Niven,Erica Wagner,Historical novel,Australia,yes
2014,Joshua Ferris,To Rise Again at a Decent Hour,Viking,A. C. Grayling,Sarah Churchwell,Jonathan Bate,Dr Daniel Glaser,Dr Alastair Niven,Erica Wagner,NA,NA,no
2014,Karen Joy Fowler,We Are All Completely Beside Ourselves,Serpent's Tail,A. C. Grayling,Sarah Churchwell,Jonathan Bate,Dr Daniel Glaser,Dr Alastair Niven,Erica Wagner,NA,NA,no
2014,Howard Jacobson,J,Jonathan Cape,A. C. Grayling,Sarah Churchwell,Jonathan Bate,Dr Daniel Glaser,Dr Alastair Niven,Erica Wagner,NA,NA,no
2014,Neel Mukherjee,The Lives of Others,Jonathan Cape,A. C. Grayling,Sarah Churchwell,Jonathan Bate,Dr Daniel Glaser,Dr Alastair Niven,Erica Wagner,NA,NA,no
2014,Ali Smith,How to Be Both,Hamish Hamilton,A. C. Grayling,Sarah Churchwell,Jonathan Bate,Dr Daniel Glaser,Dr Alastair Niven,Erica Wagner,NA,NA,no
2015,Marlon James,A Brief History of Seven Killings,Oneworld Publications,Michael Wood,John Burnside,Sam Leith,Frances Osborne,Ellah Wakatama Allfrey,NA,Historical/experimental novel,Jamaica,yes
2015,Tom McCarthy,Satin Island,Jonathan Cape,Michael Wood,John Burnside,Sam Leith,Frances Osborne,Ellah Wakatama Allfrey,NA,NA,NA,no
2015,Chigozie Obioma,The Fishermen,One,Michael Wood,John Burnside,Sam Leith,Frances Osborne,Ellah Wakatama Allfrey,NA,NA,NA,no
2015,Sunjeev Sahota,The Year of the Runaways,Picador,Michael Wood,John Burnside,Sam Leith,Frances Osborne,Ellah Wakatama Allfrey,NA,NA,NA,no
2015,Anne Tyler,A Spool of Blue Thread,Chatto & Windus,Michael Wood,John Burnside,Sam Leith,Frances Osborne,Ellah Wakatama Allfrey,NA,NA,NA,no
2015,Hanya Yanagihara,A Little Life,Picador,Michael Wood,John Burnside,Sam Leith,Frances Osborne,Ellah Wakatama Allfrey,NA,NA,NA,no
2016,Paul Beatty,The Sellout,Oneworld Publications,Amanda Foreman,Jon Day,David Harsent,Olivia Williams,Abdulrazak Gurnah,NA,Satirical novel,United States,yes
2016,Deborah Levy,Hot Milk,Hamish Hamilton,Amanda Foreman,Jon Day,David Harsent,Olivia Williams,Abdulrazak Gurnah,NA,NA,NA,no
2016,Graeme Macrae Burnet,His Bloody Project,Contraband,Amanda Foreman,Jon Day,David Harsent,Olivia Williams,Abdulrazak Gurnah,NA,NA,NA,no
2016,Ottessa Moshfegh,Eileen,Jonathan Cape,Amanda Foreman,Jon Day,David Harsent,Olivia Williams,Abdulrazak Gurnah,NA,NA,NA,no
2016,David Szalay,All That Man Is,Jonathan Cape,Amanda Foreman,Jon Day,David Harsent,Olivia Williams,Abdulrazak Gurnah,NA,NA,NA,no
2016,Madeleine Thien,Do Not Say We Have Nothing,Granta Books,Amanda Foreman,Jon Day,David Harsent,Olivia Williams,Abdulrazak Gurnah,NA,NA,NA,no
2017,George Saunders,Lincoln in the Bardo,Bloomsbury,Baroness Lola Young,Lila Azam Zanganeh,Sarah Hall,Colin Thubron,Tom Phillips,NA,Historical/experimental novel,United States,yes
2017,Paul Auster,4 3 2 1,Faber & Faber,Baroness Lola Young,Lila Azam Zanganeh,Sarah Hall,Colin Thubron,Tom Phillips,NA,NA,NA,no
2017,Emily Fridlund,History of Wolves,Weidenfeld & Nicolson,Baroness Lola Young,Lila Azam Zanganeh,Sarah Hall,Colin Thubron,Tom Phillips,NA,NA,NA,no
2017,Mohsin Hamid,Exit West,Hamish Hamilton,Baroness Lola Young,Lila Azam Zanganeh,Sarah Hall,Colin Thubron,Tom Phillips,NA,NA,NA,no
2017,Fiona Mozley,Elmet,"JM Originals, John Murray",Baroness Lola Young,Lila Azam Zanganeh,Sarah Hall,Colin Thubron,Tom Phillips,NA,NA,NA,no
2017,Ali Smith,Autumn,Hamish Hamilton,Baroness Lola Young,Lila Azam Zanganeh,Sarah Hall,Colin Thubron,Tom Phillips,NA,NA,NA,no
2018,Anna Burns,Milkman,Faber & Faber,Kwame Anthony Appiah,Val McDermid,Leo Robson,Leanne Shapton,Jacqueline Rose,NA,Novel,United Kingdom,yes
2018,Esi Edugyan,Washington Black,Serpent's Tail,Kwame Anthony Appiah,Val McDermid,Leo Robson,Leanne Shapton,Jacqueline Rose,NA,NA,NA,no
2018,Daisy Johnson,Everything Under,Jonathan Cape,Kwame Anthony Appiah,Val McDermid,Leo Robson,Leanne Shapton,Jacqueline Rose,NA,NA,NA,no
2018,Rachel Kushner,The Mars Room,Jonathan Cape,Kwame Anthony Appiah,Val McDermid,Leo Robson,Leanne Shapton,Jacqueline Rose,NA,NA,NA,no
2018,Richard Powers,The Overstory,William Heinemann,Kwame Anthony Appiah,Val McDermid,Leo Robson,Leanne Shapton,Jacqueline Rose,NA,NA,NA,no
2018,Robin Robertson,The Long Take,Picador,Kwame Anthony Appiah,Val McDermid,Leo Robson,Leanne Shapton,Jacqueline Rose,NA,NA,NA,no
2019,Margaret Atwood,The Testaments,"Vintage, Chatto & Windus",Peter Florence,Afua Hirsch,Liz Calder,Xiaolu Guo,Joanna MacGregor,NA,Novel,Canada,yes
2019,Bernardine Evaristo,"Girl, Woman, Other",Hamish Hamilton,Peter Florence,Afua Hirsch,Liz Calder,Xiaolu Guo,Joanna MacGregor,NA,Experimental novel,United Kingdom,yes
2019,Lucy Ellmann,"Ducks, Newburyport",Galley Beggar Press,Peter Florence,Afua Hirsch,Liz Calder,Xiaolu Guo,Joanna MacGregor,NA,NA,NA,no
2019,Chigozie Obioma,An Orchestra of Minorities,"Little, Brown",Peter Florence,Afua Hirsch,Liz Calder,Xiaolu Guo,Joanna MacGregor,NA,NA,NA,no
2019,Salman Rushdie,Quichotte,Jonathan Cape,Peter Florence,Afua Hirsch,Liz Calder,Xiaolu Guo,Joanna MacGregor,NA,NA,NA,no
2019,Elif Shafak,10 Minutes 38 Seconds in This Strange World,Viking,Peter Florence,Afua Hirsch,Liz Calder,Xiaolu Guo,Joanna MacGregor,NA,NA,NA,no
2020,Douglas Stuart,Shuggie Bain,"Picador, Pan Macmillan",Margaret Busby,Lee Child,Lemn Sissay,Sameer Rahim,Emily Wilson,NA,Novel,United KingdomUnited States,yes
2020,Diane Cook,The New Wilderness,Oneworld Publications,Margaret Busby,Lee Child,Lemn Sissay,Sameer Rahim,Emily Wilson,NA,NA,NA,no
2020,Tsitsi Dangarembga,This Mournable Body,Faber & Faber,Margaret Busby,Lee Child,Lemn Sissay,Sameer Rahim,Emily Wilson,NA,NA,NA,no
2020,Avni Doshi,Burnt Sugar,"Hamish Hamilton, Penguin Random House",Margaret Busby,Lee Child,Lemn Sissay,Sameer Rahim,Emily Wilson,NA,NA,NA,no
2020,Maaza Mengiste,The Shadow King,Canongate Books,Margaret Busby,Lee Child,Lemn Sissay,Sameer Rahim,Emily Wilson,NA,NA,NA,no
2020,Brandon Taylor,Real Life,"Originals, Daunt Books Publishing",Margaret Busby,Lee Child,Lemn Sissay,Sameer Rahim,Emily Wilson,NA,NA,NA,no
2021,Damon Galgut,The Promise,Chatto & Windus,Maya Jasanoff,Horatia Harrod,Natascha McElhone,Chigozie Obioma,Rowan Williams,NA,Novel,South Africa,yes
2021,Anuk Arudpragasam,A Passage North,Granta,Maya Jasanoff,Horatia Harrod,Natascha McElhone,Chigozie Obioma,Rowan Williams,NA,NA,NA,no
2021,Patricia Lockwood,No One Is Talking About This,Bloomsbury Publishing/Bloomsbury Circus,Maya Jasanoff,Horatia Harrod,Natascha McElhone,Chigozie Obioma,Rowan Williams,NA,NA,NA,no
2021,Nadifa Mohamed,The Fortune Men,Viking / Penguin General / PRH,Maya Jasanoff,Horatia Harrod,Natascha McElhone,Chigozie Obioma,Rowan Williams,NA,NA,NA,no
2021,Richard Powers,Bewilderment,Hutchinson Heinemann,Maya Jasanoff,Horatia Harrod,Natascha McElhone,Chigozie Obioma,Rowan Williams,NA,NA,NA,no
2021,Maggie Shipstead,Great Circle,Doubleday/Transworld Publishers,Maya Jasanoff,Horatia Harrod,Natascha McElhone,Chigozie Obioma,Rowan Williams,NA,NA,NA,no
