Domicile,2017/18,2018/19,2019/20,2020/21,2021/22,First year marker,Level of study,Mode of study,Country of HE provider
England,18800.0,18830.0,17715.0,18720.0,18720.0,All,Postgraduate (research),Part-time,England
England,25.0,20.0,25.0,25.0,30.0,All,Postgraduate (research),Part-time,Northern Ireland
England,300.0,330.0,325.0,405.0,460.0,All,Postgraduate (research),Part-time,Scotland
England,250.0,250.0,265.0,275.0,295.0,All,Postgraduate (research),Part-time,Wales
England,51590.0,52545.0,51305.0,53545.0,52950.0,All,Postgraduate (research),All,England
England,155.0,135.0,130.0,160.0,165.0,All,Postgraduate (research),All,Northern Ireland
England,1760.0,1855.0,1845.0,2055.0,2185.0,All,Postgraduate (research),All,Scotland
England,1070.0,1120.0,1180.0,1145.0,1075.0,All,Postgraduate (research),All,Wales
England,16205.0,16960.0,15240.0,16345.0,15080.0,First year,Postgraduate (research),All,England
England,45.0,35.0,40.0,55.0,55.0,First year,Postgraduate (research),All,Northern Ireland
England,600.0,655.0,615.0,745.0,740.0,First year,Postgraduate (research),All,Scotland
England,390.0,425.0,395.0,385.0,330.0,First year,Postgraduate (research),All,Wales
England,35385.0,35580.0,36065.0,37200.0,37870.0,Other years,Postgraduate (research),All,England
England,110.0,100.0,90.0,105.0,110.0,Other years,Postgraduate (research),All,Northern Ireland
England,1160.0,1200.0,1230.0,1310.0,1445.0,Other years,Postgraduate (research),All,Scotland
England,680.0,695.0,785.0,760.0,745.0,Other years,Postgraduate (research),All,Wales
England,54575.0,55650.0,54460.0,56905.0,56375.0,All,Postgraduate (research),All,All
England,35205.0,36220.0,36135.0,37480.0,36870.0,All,Postgraduate (research),Full-time,All
England,19370.0,19435.0,18325.0,19425.0,19505.0,All,Postgraduate (research),Part-time,All
England,17245.0,18075.0,16290.0,17530.0,16200.0,First year,Postgraduate (research),All,All
England,12875.0,13495.0,12285.0,12970.0,12220.0,First year,Postgraduate (research),Full-time,All
England,4365.0,4580.0,4005.0,4560.0,3980.0,First year,Postgraduate (research),Part-time,All
England,37335.0,37575.0,38175.0,39375.0,40170.0,Other years,Postgraduate (research),All,All
England,22330.0,22720.0,23850.0,24510.0,24650.0,Other years,Postgraduate (research),Full-time,All
England,15005.0,14855.0,14320.0,14865.0,15520.0,Other years,Postgraduate (research),Part-time,All
England,81910.0,82145.0,84420.0,107260.0,94035.0,First year,Postgraduate (taught),Full-time,England
England,230.0,280.0,345.0,465.0,310.0,First year,Postgraduate (taught),Full-time,Northern Ireland
England,1605.0,1540.0,1600.0,1830.0,1815.0,First year,Postgraduate (taught),Full-time,Scotland
England,1500.0,1505.0,1565.0,2000.0,1775.0,First year,Postgraduate (taught),Full-time,Wales
England,81505.0,82540.0,81255.0,97920.0,95320.0,First year,Postgraduate (taught),Part-time,England
England,570.0,650.0,720.0,285.0,315.0,First year,Postgraduate (taught),Part-time,Northern Ireland
England,1835.0,1785.0,1940.0,2890.0,2370.0,First year,Postgraduate (taught),Part-time,Scotland
England,1370.0,1505.0,1785.0,2385.0,2110.0,First year,Postgraduate (taught),Part-time,Wales
England,15800.0,17025.0,16630.0,19815.0,24700.0,Other years,Postgraduate (taught),Full-time,England
England,45.0,60.0,120.0,185.0,165.0,Other years,Postgraduate (taught),Full-time,Northern Ireland
England,355.0,395.0,415.0,510.0,650.0,Other years,Postgraduate (taught),Full-time,Scotland
England,450.0,545.0,590.0,670.0,840.0,Other years,Postgraduate (taught),Full-time,Wales
England,70225.0,70260.0,71110.0,78275.0,84355.0,Other years,Postgraduate (taught),Part-time,England
England,405.0,405.0,360.0,270.0,245.0,Other years,Postgraduate (taught),Part-time,Northern Ireland
England,2595.0,2485.0,2465.0,2650.0,3315.0,Other years,Postgraduate (taught),Part-time,Scotland
England,1245.0,1200.0,1195.0,1675.0,2355.0,Other years,Postgraduate (taught),Part-time,Wales
England,97710.0,99170.0,101050.0,127075.0,118735.0,All,Postgraduate (taught),Full-time,England
England,275.0,340.0,465.0,655.0,475.0,All,Postgraduate (taught),Full-time,Northern Ireland
England,1960.0,1935.0,2015.0,2340.0,2465.0,All,Postgraduate (taught),Full-time,Scotland
England,1950.0,2055.0,2155.0,2670.0,2615.0,All,Postgraduate (taught),Full-time,Wales
England,151725.0,152800.0,152365.0,176195.0,179675.0,All,Postgraduate (taught),Part-time,England
England,975.0,1055.0,1080.0,555.0,565.0,All,Postgraduate (taught),Part-time,Northern Ireland
England,4430.0,4265.0,4405.0,5545.0,5690.0,All,Postgraduate (taught),Part-time,Scotland
England,2615.0,2705.0,2980.0,4065.0,4465.0,All,Postgraduate (taught),Part-time,Wales
England,249440.0,251970.0,253420.0,303275.0,298410.0,All,Postgraduate (taught),All,England
England,1255.0,1395.0,1545.0,1210.0,1040.0,All,Postgraduate (taught),All,Northern Ireland
England,6390.0,6200.0,6420.0,7885.0,8150.0,All,Postgraduate (taught),All,Scotland
England,4565.0,4755.0,5135.0,6735.0,7080.0,All,Postgraduate (taught),All,Wales
England,163415.0,164685.0,165675.0,205180.0,189355.0,First year,Postgraduate (taught),All,England
England,800.0,935.0,1065.0,750.0,630.0,First year,Postgraduate (taught),All,Northern Ireland
England,3440.0,3325.0,3540.0,4720.0,4185.0,First year,Postgraduate (taught),All,Scotland
England,2870.0,3010.0,3350.0,4390.0,3885.0,First year,Postgraduate (taught),All,Wales
England,86025.0,87285.0,87740.0,98090.0,109055.0,Other years,Postgraduate (taught),All,England
England,455.0,465.0,485.0,460.0,410.0,Other years,Postgraduate (taught),All,Northern Ireland
England,2950.0,2875.0,2880.0,3165.0,3965.0,Other years,Postgraduate (taught),All,Scotland
England,1695.0,1745.0,1785.0,2345.0,3200.0,Other years,Postgraduate (taught),All,Wales
England,261645.0,264325.0,266515.0,319105.0,314685.0,All,Postgraduate (taught),All,All
England,101900.0,103500.0,105685.0,132740.0,124290.0,All,Postgraduate (taught),Full-time,All
England,159745.0,160825.0,160830.0,186360.0,190395.0,All,Postgraduate (taught),Part-time,All
England,170520.0,171955.0,173630.0,215040.0,198050.0,First year,Postgraduate (taught),All,All
England,85245.0,85470.0,87935.0,111555.0,97935.0,First year,Postgraduate (taught),Full-time,All
England,85280.0,86480.0,85695.0,103485.0,100115.0,First year,Postgraduate (taught),Part-time,All
England,91125.0,92370.0,92885.0,104060.0,116635.0,Other years,Postgraduate (taught),All,All
England,16655.0,18025.0,17750.0,21185.0,26355.0,Other years,Postgraduate (taught),Full-time,All
England,74465.0,74345.0,75135.0,82875.0,90280.0,Other years,Postgraduate (taught),Part-time,All
England,316225.0,319975.0,320980.0,376005.0,371060.0,All,All postgraduate,All,All
England,301030.0,304510.0,304720.0,356820.0,351360.0,All,All postgraduate,All,England
England,1410.0,1535.0,1675.0,1370.0,1205.0,All,All postgraduate,All,Northern Ireland
England,8150.0,8055.0,8265.0,9940.0,10335.0,All,All postgraduate,All,Scotland
England,5635.0,5875.0,6315.0,7880.0,8155.0,All,All postgraduate,All,Wales
England,137105.0,139715.0,141820.0,170225.0,161160.0,All,All postgraduate,Full-time,All
England,130505.0,132880.0,134640.0,161900.0,152965.0,All,All postgraduate,Full-time,England
England,410.0,455.0,570.0,785.0,610.0,All,All postgraduate,Full-time,Northern Ireland
England,3420.0,3460.0,3535.0,3990.0,4190.0,All,All postgraduate,Full-time,Scotland
England,2770.0,2920.0,3075.0,3545.0,3395.0,All,All postgraduate,Full-time,Wales
England,179120.0,180260.0,179160.0,205785.0,209900.0,All,All postgraduate,Part-time,All
England,170525.0,171630.0,170080.0,194915.0,198395.0,All,All postgraduate,Part-time,England
England,1000.0,1075.0,1105.0,580.0,595.0,All,All postgraduate,Part-time,Northern Ireland
England,4730.0,4595.0,4730.0,5950.0,6150.0,All,All postgraduate,Part-time,Scotland
England,2865.0,2955.0,3240.0,4335.0,4760.0,All,All postgraduate,Part-time,Wales
England,187765.0,190030.0,189920.0,232570.0,214255.0,First year,All postgraduate,All,All
England,179620.0,181645.0,180915.0,221525.0,204435.0,First year,All postgraduate,All,England
England,845.0,970.0,1100.0,805.0,685.0,First year,All postgraduate,All,Northern Ireland
England,4040.0,3980.0,4155.0,5465.0,4925.0,First year,All postgraduate,All,Scotland
England,3260.0,3435.0,3745.0,4770.0,4210.0,First year,All postgraduate,All,Wales
England,98120.0,98970.0,100220.0,124525.0,110155.0,First year,All postgraduate,Full-time,All
England,93910.0,94685.0,95820.0,119240.0,105325.0,First year,All postgraduate,Full-time,England
England,270.0,310.0,375.0,515.0,360.0,First year,All postgraduate,Full-time,Northern Ireland
England,2115.0,2115.0,2135.0,2450.0,2430.0,First year,All postgraduate,Full-time,Scotland
England,1825.0,1855.0,1890.0,2320.0,2040.0,First year,All postgraduate,Full-time,Wales
England,89645.0,91060.0,89700.0,108045.0,104100.0,First year,All postgraduate,Part-time,All
England,85710.0,86960.0,85095.0,102290.0,99110.0,First year,All postgraduate,Part-time,England
England,575.0,655.0,725.0,290.0,325.0,First year,All postgraduate,Part-time,Northern Ireland
England,1925.0,1865.0,2025.0,3015.0,2495.0,First year,All postgraduate,Part-time,Scotland
England,1440.0,1580.0,1855.0,2450.0,2170.0,First year,All postgraduate,Part-time,Wales
England,128460.0,129950.0,131060.0,143440.0,156805.0,Other years,All postgraduate,All,All
England,121410.0,122865.0,123805.0,135290.0,146930.0,Other years,All postgraduate,All,England
England,565.0,565.0,575.0,565.0,520.0,Other years,All postgraduate,All,Northern Ireland
England,4110.0,4075.0,4110.0,4475.0,5410.0,Other years,All postgraduate,All,Scotland
England,2375.0,2440.0,2570.0,3110.0,3945.0,Other years,All postgraduate,All,Wales
England,38985.0,40750.0,41605.0,45695.0,51005.0,Other years,All postgraduate,Full-time,All
England,36595.0,38195.0,38820.0,42665.0,47640.0,Other years,All postgraduate,Full-time,England
England,140.0,145.0,195.0,270.0,250.0,Other years,All postgraduate,Full-time,Northern Ireland
England,1305.0,1345.0,1405.0,1540.0,1755.0,Other years,All postgraduate,Full-time,Scotland
England,950.0,1065.0,1185.0,1225.0,1355.0,Other years,All postgraduate,Full-time,Wales
England,89475.0,89200.0,89455.0,97740.0,105800.0,Other years,All postgraduate,Part-time,All
England,84820.0,84670.0,84985.0,92630.0,99285.0,Other years,All postgraduate,Part-time,England
England,425.0,420.0,380.0,295.0,270.0,Other years,All postgraduate,Part-time,Northern Ireland
England,2805.0,2730.0,2705.0,2935.0,3655.0,Other years,All postgraduate,Part-time,Scotland
England,1425.0,1375.0,1385.0,1885.0,2590.0,Other years,All postgraduate,Part-time,Wales
England,349080.0,351525.0,363125.0,395065.0,405550.0,First year,First degree,Full-time,England
England,330.0,320.0,295.0,340.0,345.0,First year,First degree,Full-time,Northern Ireland
England,4875.0,4455.0,4600.0,5275.0,5895.0,First year,First degree,Full-time,Scotland
England,10090.0,10020.0,10325.0,11470.0,12620.0,First year,First degree,Full-time,Wales
England,38410.0,41335.0,43840.0,50950.0,45955.0,First year,First degree,Part-time,England
England,40.0,60.0,65.0,45.0,40.0,First year,First degree,Part-time,Northern Ireland
England,150.0,135.0,145.0,160.0,115.0,First year,First degree,Part-time,Scotland
England,65.0,105.0,75.0,75.0,80.0,First year,First degree,Part-time,Wales
England,644950.0,653100.0,655840.0,692220.0,710490.0,Other years,First degree,Full-time,England
England,780.0,775.0,770.0,770.0,715.0,Other years,First degree,Full-time,Northern Ireland
England,12400.0,12740.0,12715.0,12950.0,13120.0,Other years,First degree,Full-time,Scotland
England,20940.0,20990.0,20950.0,21445.0,21985.0,Other years,First degree,Full-time,Wales
England,90990.0,93640.0,97825.0,103020.0,118480.0,Other years,First degree,Part-time,England
England,80.0,80.0,105.0,110.0,110.0,Other years,First degree,Part-time,Northern Ireland
England,325.0,330.0,315.0,270.0,315.0,Other years,First degree,Part-time,Scotland
England,410.0,410.0,390.0,260.0,460.0,Other years,First degree,Part-time,Wales
England,994030.0,1004630.0,1018965.0,1087285.0,1116045.0,All,First degree,Full-time,England
England,1115.0,1100.0,1065.0,1105.0,1055.0,All,First degree,Full-time,Northern Ireland
England,17275.0,17195.0,17315.0,18225.0,19015.0,All,First degree,Full-time,Scotland
England,31030.0,31010.0,31275.0,32915.0,34610.0,All,First degree,Full-time,Wales
England,129400.0,134975.0,141665.0,153970.0,164435.0,All,First degree,Part-time,England
England,115.0,145.0,170.0,155.0,150.0,All,First degree,Part-time,Northern Ireland
England,475.0,465.0,465.0,435.0,425.0,All,First degree,Part-time,Scotland
England,475.0,515.0,465.0,335.0,545.0,All,First degree,Part-time,Wales
England,1123430.0,1139605.0,1160630.0,1241255.0,1280480.0,All,First degree,All,England
England,1230.0,1240.0,1235.0,1260.0,1210.0,All,First degree,All,Northern Ireland
England,17750.0,17660.0,17780.0,18660.0,19440.0,All,First degree,All,Scotland
England,31505.0,31525.0,31740.0,33250.0,35150.0,All,First degree,All,Wales
England,387490.0,392865.0,406965.0,446015.0,451510.0,First year,First degree,All,England
England,370.0,385.0,360.0,385.0,385.0,First year,First degree,All,Northern Ireland
England,5025.0,4590.0,4750.0,5435.0,6010.0,First year,First degree,All,Scotland
England,10155.0,10125.0,10405.0,11545.0,12700.0,First year,First degree,All,Wales
England,735940.0,746740.0,753665.0,795240.0,828970.0,Other years,First degree,All,England
England,860.0,860.0,875.0,875.0,825.0,Other years,First degree,All,Northern Ireland
England,12725.0,13070.0,13030.0,13220.0,13430.0,Other years,First degree,All,Scotland
England,21350.0,21400.0,21340.0,21705.0,22450.0,Other years,First degree,All,Wales
England,1173915.0,1190030.0,1211390.0,1294425.0,1336280.0,All,First degree,All,All
England,1043445.0,1053935.0,1068625.0,1139530.0,1170720.0,All,First degree,Full-time,All
England,130470.0,136100.0,142760.0,154895.0,165560.0,All,First degree,Part-time,All
England,403045.0,407965.0,422475.0,463385.0,470600.0,First year,First degree,All,All
England,364380.0,366325.0,378350.0,412150.0,424410.0,First year,First degree,Full-time,All
England,38665.0,41635.0,44125.0,51235.0,46190.0,First year,First degree,Part-time,All
England,770870.0,782065.0,788910.0,831040.0,865675.0,Other years,First degree,All,All
England,679065.0,687605.0,690275.0,727380.0,746310.0,Other years,First degree,Full-time,All
England,91805.0,94460.0,98635.0,103660.0,119370.0,Other years,First degree,Part-time,All
England,27795.0,24870.0,22750.0,24490.0,22320.0,First year,Other undergraduate,Full-time,England
England,5.0,0.0,0.0,0.0,0.0,First year,Other undergraduate,Full-time,Northern Ireland
England,80.0,55.0,45.0,45.0,45.0,First year,Other undergraduate,Full-time,Scotland
England,1385.0,1645.0,2100.0,2980.0,2230.0,First year,Other undergraduate,Full-time,Wales
England,46925.0,43215.0,35135.0,41025.0,38635.0,First year,Other undergraduate,Part-time,England
England,135.0,210.0,100.0,95.0,100.0,First year,Other undergraduate,Part-time,Northern Ireland
England,540.0,600.0,540.0,680.0,650.0,First year,Other undergraduate,Part-time,Scotland
England,670.0,695.0,860.0,1255.0,1195.0,First year,Other undergraduate,Part-time,Wales
England,18400.0,16665.0,16425.0,15775.0,15410.0,Other years,Other undergraduate,Full-time,England
